,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
54,"Goosebumps - Remix","Travis Scott",1455883,https://open.spotify.com/track/5uEYRdEIh9Bo4fpjDd4Na9
55,"Wants and Needs (feat. Lil Baby)",Drake,1451470,https://open.spotify.com/track/65OVbaJR5O1RmwOQx0875b
56,"Don't Start Now","Dua Lipa",1429310,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62
57,Bandido,"Myke Towers",1422681,https://open.spotify.com/track/1xK1Gg9SxG8fy2Ya373oqb
58,"Someone You Loved","Lewis Capaldi",1395551,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
59,512,Mora,1337225,https://open.spotify.com/track/5jzEwSyyymBlf1fa1o39T2
60,"Late At Night","Roddy Ricch",1322740,https://open.spotify.com/track/1fxYz1s15pyZLsJT0Hdh1m
61,"Head & Heart (feat. MNEK)","Joel Corry",1307588,https://open.spotify.com/track/6cx06DFPPHchuUAcTxznu9
62,Up,"Cardi B",1298108,https://open.spotify.com/track/1M4OcYkxAtu3ErzSgDEfoi
63,Streets,"Doja Cat",1289006,https://open.spotify.com/track/60ynsPSSKe6O3sfwRnIBRf
64,"LA NOCHE DE ANOCHE","Bad Bunny",1270111,https://open.spotify.com/track/2XIc1pqjXV3Cr2BQUGNBck
65,"Your Power","Billie Eilish",1265046,https://open.spotify.com/track/5qNh5WtzMbfpSj2jLlBkoD
66,911,Sech,1258473,https://open.spotify.com/track/2p2Q23iaaPSEa1tI6TsCVX
67,"WITHOUT YOU","The Kid LAROI",1245208,https://open.spotify.com/track/27OeeYzk6klgBh83TSvGMA
68,"Sal y Perrea",Sech,1244484,https://open.spotify.com/track/5u7twkeask1VIyDeNTElSU
69,"We're Good","Dua Lipa",1243998,https://open.spotify.com/track/1diS6nkxMQc3wwC4G1j0bh
70,"Sweater Weather","The Neighbourhood",1243868,https://open.spotify.com/track/2QjOHCTQ1Jl3zawyYOpxh6
71,"Heartbreak Anthem (with David Guetta & Little Mix)",Galantis,1218656,https://open.spotify.com/track/5K6Ssv4Z3zRvxt0P6EKUAP
72,Runaway,AURORA,1215653,https://open.spotify.com/track/1v1oIWf2Xgh54kIWuKsDf6
73,"Talking to the Moon","Bruno Mars",1205530,https://open.spotify.com/track/161DnLWsx1i3u1JT05lzqU
74,Run,OneRepublic,1202085,https://open.spotify.com/track/2UbVnbE5FH6008mAm6Mmgw
75,positions,"Ariana Grande",1185850,https://open.spotify.com/track/35mvY5S1H3J2QZyna3TFe0
76,Poblado,Crissin,1169636,https://open.spotify.com/track/7xT1n5JKpB0bMPh6FL589e
77,"Baila Conmigo (with Rauw Alejandro)","Selena Gomez",1162440,https://open.spotify.com/track/079Ey5uxL04AKPQgVQwx5h
78,Levitating,"Dua Lipa",1156266,https://open.spotify.com/track/39LLxExYz6ewLAcYrzQQyP
79,"Dance Monkey","Tones And I",1152245,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
80,"Leave Before You Love Me (with Jonas Brothers)",Marshmello,1137715,https://open.spotify.com/track/4qu63nuBpdn0qHUHuObEj1
81,Freaks,"Surf Curse",1099037,https://open.spotify.com/track/7EkWXAI1wn8Ii883ecd9xr
82,"Best Friend (feat. Doja Cat)",Saweetie,1097850,https://open.spotify.com/track/20BOju91NaEFK5Py4VJ2pp
83,"Lemonade (feat. Gunna, Don Toliver & NAV)","Internet Money",1094249,https://open.spotify.com/track/7hxHWCCAIIxFLCzvDgnQHX
84,"By Your Side (feat. Tom Grennan)","Calvin Harris",1092598,https://open.spotify.com/track/0vR2rIVORmgeKiGIgNT0fV
85,"Ram Pam Pam","Natti Natasha",1084848,https://open.spotify.com/track/4DHDIdeayp8xvlyg22wREO
86,"Calling My Phone","Lil Tjay",1083836,https://open.spotify.com/track/3J8EOeKLTLXORtWPpOU5bE
87,"ROCKSTAR (feat. Roddy Ricch)",DaBaby,1081597,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4
88,"Miss The Rage (feat. Playboi Carti)","Trippie Redd",1078769,https://open.spotify.com/track/2BITQ360Knh6qNAOqR7Dyq
89,"Roses - Imanbek Remix","SAINt JHN",1078682,https://open.spotify.com/track/0zLCBJZSiELJf02ucPP9wb
90,"p r i d e . i s . t h e . d e v i l (with Lil Baby)","J. Cole",1078565,https://open.spotify.com/track/5W8jRrZ6tWrTrqnKRtIQBf
91,"m y . l i f e (with 21 Savage & Morray)","J. Cole",1065094,https://open.spotify.com/track/1D3z6HTiQsNmZxjl7F7eoG
92,"t r a n s p a r e n t s o u l feat. Travis Barker",WILLOW,1063842,https://open.spotify.com/track/1QL7nSDZCwZMnbisV4KOXt
93,"Dick (feat. Doja Cat)",StarBoi3,1053814,https://open.spotify.com/track/3nY8AqaMNNHHLYV4380ol0
94,"lovely (with Khalid)","Billie Eilish",1051465,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
95,"Cover Me In Sunshine",P!nk,1040196,https://open.spotify.com/track/0UKUfxIkDAMZz7hMdiVX3m
96,34+35,"Ariana Grande",1035109,https://open.spotify.com/track/6Im9k8u9iIzKMrmV7BWtlF
97,"Petrouchka (feat. PLK)","Soso Maness",1026704,https://open.spotify.com/track/03y045SZqaC94yfXl1cU4E
98,"Before You Go","Lewis Capaldi",1012951,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
99,"Hecha Pa' Mi",Boza,1012912,https://open.spotify.com/track/3VvA1wSxukMLsvXoXtlwWx
100,"you broke me first","Tate McRae",1012260,https://open.spotify.com/track/45bE4HXI0AwGZXfZtMp8JR
101,Circles,"Post Malone",1008434,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
102,Believer,"Imagine Dragons",997810,https://open.spotify.com/track/0pqnGHJpmpxLKifKRmU6WP
103,"Paradise (feat. Dermot Kennedy)",MEDUZA,997478,https://open.spotify.com/track/6ft4hAq6yde8jPZY2i5zLr
104,"Another Love","Tom Odell",982959,https://open.spotify.com/track/7jtQIBanIiJOMS6RyCx6jZ
105,Heather,"Conan Gray",970963,https://open.spotify.com/track/4xqrdfXkTW4T0RauPLv3WA
106,Alcohol-Free,TWICE,968951,https://open.spotify.com/track/6HTwoo4dUOvePNqMsTarPA
107,"Good Days",SZA,968077,https://open.spotify.com/track/3YJJjQPAbDT7mGpX3WtQ9A
108,"Follow You","Imagine Dragons",966475,https://open.spotify.com/track/7FdUvDkaE24o3FPIWTvzv2
109,Reloj,"Rauw Alejandro",961415,https://open.spotify.com/track/4loQgPwJHocL3dFwLfjb1J
110,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",960352,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY
111,Bipolar,"Mc Davi",952909,https://open.spotify.com/track/0qxLQ6opocOGyFnlXqJ53x
112,"Wasted Love (feat. Lagique)",Ofenbach,950055,https://open.spotify.com/track/2pPO9YecZimmuVQfIzfV6U
113,"Our Song",Anne-Marie,939885,https://open.spotify.com/track/5zqObw7wjBgL9TDiAymxPn
114,Aloha,Maluma,937663,https://open.spotify.com/track/5RAIMjdrCEjpjaR5tBATXU
115,"Hats Off (feat. Travis Scott)","Lil Baby",923180,https://open.spotify.com/track/4lUmnwRybYH7mMzf16xB0y
116,Señorita,"Shawn Mendes",922168,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
117,"Tell Em",Cochise,919332,https://open.spotify.com/track/7nc7mlSdWYeFom84zZ8Wr8
118,Memories,"Maroon 5",908177,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
119,"Iko Iko (My Bestie)","Justin Wellington",902725,https://open.spotify.com/track/7MC4XR9M9amdmKQr2iDF7i
120,"SUN GOES DOWN","Lil Nas X",901490,https://open.spotify.com/track/34eF4BoV8FPk0uhAAoqU7h
121,"bad guy","Billie Eilish",901004,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
122,"Shape of You","Ed Sheeran",899750,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
123,goosebumps,"Travis Scott",894692,https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2
124,"Adore You","Harry Styles",893705,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7
125,Shallow,"Lady Gaga",890091,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B
