,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
54,Beggin',Måneskin,1437958,https://open.spotify.com/track/3Wrjm47oTz2sjIgck11l5e
55,"Goosebumps - Remix","Travis Scott",1428577,https://open.spotify.com/track/5uEYRdEIh9Bo4fpjDd4Na9
56,"Wants and Needs (feat. Lil Baby)",Drake,1426590,https://open.spotify.com/track/65OVbaJR5O1RmwOQx0875b
57,"Don't Start Now","Dua Lipa",1401246,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62
58,"Someone You Loved","Lewis Capaldi",1383243,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
59,"Late At Night","Roddy Ricch",1361215,https://open.spotify.com/track/1fxYz1s15pyZLsJT0Hdh1m
60,512,Mora,1322511,https://open.spotify.com/track/5jzEwSyyymBlf1fa1o39T2
61,"Your Power","Billie Eilish",1307940,https://open.spotify.com/track/5qNh5WtzMbfpSj2jLlBkoD
62,Up,"Cardi B",1296963,https://open.spotify.com/track/1M4OcYkxAtu3ErzSgDEfoi
63,Streets,"Doja Cat",1284182,https://open.spotify.com/track/60ynsPSSKe6O3sfwRnIBRf
64,"Head & Heart (feat. MNEK)","Joel Corry",1281711,https://open.spotify.com/track/6cx06DFPPHchuUAcTxznu9
65,"LA NOCHE DE ANOCHE","Bad Bunny",1273646,https://open.spotify.com/track/2XIc1pqjXV3Cr2BQUGNBck
66,911,Sech,1250958,https://open.spotify.com/track/2p2Q23iaaPSEa1tI6TsCVX
67,"WITHOUT YOU","The Kid LAROI",1248954,https://open.spotify.com/track/27OeeYzk6klgBh83TSvGMA
68,"Sal y Perrea",Sech,1245535,https://open.spotify.com/track/5u7twkeask1VIyDeNTElSU
69,"Sweater Weather","The Neighbourhood",1236148,https://open.spotify.com/track/2QjOHCTQ1Jl3zawyYOpxh6
70,"We're Good","Dua Lipa",1232095,https://open.spotify.com/track/1diS6nkxMQc3wwC4G1j0bh
71,Runaway,AURORA,1224881,https://open.spotify.com/track/1v1oIWf2Xgh54kIWuKsDf6
72,"Talking to the Moon","Bruno Mars",1212105,https://open.spotify.com/track/161DnLWsx1i3u1JT05lzqU
73,"Heartbreak Anthem (with David Guetta & Little Mix)",Galantis,1192025,https://open.spotify.com/track/5K6Ssv4Z3zRvxt0P6EKUAP
74,Poblado,Crissin,1185200,https://open.spotify.com/track/7xT1n5JKpB0bMPh6FL589e
75,Run,OneRepublic,1180457,https://open.spotify.com/track/2UbVnbE5FH6008mAm6Mmgw
76,positions,"Ariana Grande",1173845,https://open.spotify.com/track/35mvY5S1H3J2QZyna3TFe0
77,"Baila Conmigo (with Rauw Alejandro)","Selena Gomez",1173473,https://open.spotify.com/track/079Ey5uxL04AKPQgVQwx5h
78,Levitating,"Dua Lipa",1161483,https://open.spotify.com/track/39LLxExYz6ewLAcYrzQQyP
79,"Leave Before You Love Me (with Jonas Brothers)",Marshmello,1129015,https://open.spotify.com/track/4qu63nuBpdn0qHUHuObEj1
80,"Dance Monkey","Tones And I",1113661,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
81,"By Your Side (feat. Tom Grennan)","Calvin Harris",1093681,https://open.spotify.com/track/0vR2rIVORmgeKiGIgNT0fV
82,"p r i d e . i s . t h e . d e v i l (with Lil Baby)","J. Cole",1087837,https://open.spotify.com/track/5W8jRrZ6tWrTrqnKRtIQBf
83,Freaks,"Surf Curse",1086466,https://open.spotify.com/track/7EkWXAI1wn8Ii883ecd9xr
84,"m y . l i f e (with 21 Savage & Morray)","J. Cole",1084135,https://open.spotify.com/track/1D3z6HTiQsNmZxjl7F7eoG
85,"Best Friend (feat. Doja Cat)",Saweetie,1082468,https://open.spotify.com/track/20BOju91NaEFK5Py4VJ2pp
86,"Miss The Rage (feat. Playboi Carti)","Trippie Redd",1080350,https://open.spotify.com/track/2BITQ360Knh6qNAOqR7Dyq
87,"Calling My Phone","Lil Tjay",1079974,https://open.spotify.com/track/3J8EOeKLTLXORtWPpOU5bE
